index;batch;product;date;month;quarter;year;year_quarter;api_reference;api_water;api_impurities;api_content;api_d10;api_d50;api_d90;lactose_water;smcc_water;smcc_d10;smcc_d50;smcc_d90;starch_water;SREL;compforce_mean;compforce_std;tensile_strengh;thickness;mass;hardness;yield;dissolution;impurities
1;B001;Product 1;01/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.559875776;4.255403727;0.058473468;1.412698315;3.4;113.5;46;94.697;93.83;0.33
2;B002;Product 1;01/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.494945848;4.251022864;0.056787817;1.412698315;3.4;114;46;97.348;99.67;0.34
3;B003;Product 1;01/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.392133492;4.261263409;0.054521796;1.412698315;3.4;113;46;99.242;97.33;0.28
4;B004;Product 1;02/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.416047904;4.35760479;0.062704912;1.474119981;3.4;113.5;48;98.106;94.5;0.3
5;B005;Product 1;02/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.460359281;4.249461078;0.056974662;1.443409148;3.4;113.5;47;98.106;92;0.31
6;B006;Product 1;03/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.405454545;4.456;0.061264982;1.504830814;3.4;114;49;97.727;97.67;0.33
7;B007;Product 1;03/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.360692951;4.254719235;0.057602198;1.443409148;3.4;113.5;47;98.864;95.17;0.32
8;B008;Product 1;03/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.330595238;4.251785714;0.059169072;1.443409148;3.4;114;47;99.242;96.5;0.32
9;B009;Product 1;04/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.428467153;4.360705596;0.057142585;1.535541647;3.4;113;50;96.591;95;0.36
10;B010;Product 1;05/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.389504717;4.152948113;0.059440819;1.443409148;3.4;113;47;99.242;92.17;0.32
